iter	Logloss
0	0.6590401006
1	0.6292908076
2	0.6024305804
3	0.5815465034
4	0.5635728988
5	0.5463656222
6	0.531185337
7	0.5174766718
8	0.5056521722
9	0.4962510142
10	0.487221801
11	0.4796855554
12	0.4724840592
13	0.4652606093
14	0.4599013943
15	0.4542651559
16	0.449749267
17	0.4459412444
18	0.4421393268
19	0.438726557
20	0.435458861
21	0.4330396846
22	0.4304157167
23	0.4279095395
24	0.4268575646
25	0.4245931608
26	0.4225650518
27	0.4204607203
28	0.4184813278
29	0.4168865238
30	0.4152194927
31	0.413790082
32	0.412479775
33	0.4113042447
34	0.4101673931
35	0.4089956224
36	0.4079233354
37	0.4070323636
38	0.4060176052
39	0.4049450711
40	0.4039175633
41	0.4030223863
42	0.4021922876
43	0.4014003722
44	0.4004872587
45	0.3994736659
46	0.3986733625
47	0.3978872497
48	0.3972370988
49	0.3965947131
50	0.395933919
51	0.3953852624
52	0.3946775135
53	0.3940462888
54	0.3936310368
55	0.3929152421
56	0.3923391446
57	0.3917581266
58	0.391265571
59	0.3907173071
60	0.3902523805
61	0.3897827276
62	0.3893572773
63	0.3887181114
64	0.388290001
65	0.3878555334
66	0.3873787718
67	0.3869989263
68	0.3865909299
69	0.3861000121
70	0.3857927622
71	0.38547734
72	0.385005944
73	0.3847321606
74	0.3845333507
75	0.3841572398
76	0.3837327388
77	0.3836006461
78	0.3832627575
79	0.382879425
80	0.3825179049
81	0.3822062991
82	0.3819468501
83	0.3817442091
84	0.3812410864
85	0.3809964009
86	0.3805761306
87	0.3802198278
88	0.3799097282
89	0.3793926347
90	0.3789236292
91	0.3785698326
92	0.3782170227
93	0.3777227181
94	0.3773476461
95	0.3770077471
96	0.376961647
97	0.3766652518
98	0.3762024084
99	0.3758109573
100	0.3754839715
101	0.3751584983
102	0.3749154894
103	0.3744684281
104	0.3742001728
105	0.3738052548
106	0.373448221
107	0.373206988
108	0.3727656115
109	0.3725543606
110	0.372282783
111	0.3719235592
112	0.3718102533
113	0.3713534583
114	0.3709047863
115	0.3705957555
116	0.3700805624
117	0.3695904426
118	0.3694391779
119	0.369115208
120	0.3688434192
121	0.3687220446
122	0.3684041206
123	0.3681384139
124	0.367810968
125	0.3676985703
126	0.3673083075
127	0.3669617728
128	0.3667269532
129	0.3664733366
130	0.3661901467
131	0.3660224197
132	0.3656876505
133	0.3654297989
134	0.3651269174
135	0.3648926944
136	0.36479442
137	0.3644275245
138	0.3640409925
139	0.3638636527
140	0.363556132
141	0.3633632218
142	0.3629482972
143	0.3626800151
144	0.362351148
145	0.3621266143
146	0.3618318652
147	0.3615520175
148	0.3612419552
149	0.3609169576
150	0.3605174643
151	0.3602229724
152	0.3598963054
153	0.3596214511
154	0.3593736275
155	0.3591451661
156	0.3589961676
157	0.3587567265
158	0.3586383814
159	0.3583285269
160	0.3580961149
161	0.3577544895
162	0.3574959429
163	0.3570158126
164	0.3567090531
165	0.356428997
166	0.3561882082
167	0.355883073
168	0.3555730195
169	0.3553178717
170	0.3548217062
171	0.3545362094
172	0.35416503
173	0.3539499107
174	0.353613205
175	0.3533171367
176	0.3529739148
177	0.3527254279
178	0.3524992229
179	0.3521552237
180	0.3520186574
181	0.3517724738
182	0.3514435347
183	0.3512051817
184	0.3510873148
185	0.350825803
