iter	Logloss
186	0.3505533685
187	0.3503042017
188	0.3501489996
189	0.3499817992
190	0.3497480636
191	0.3494303403
192	0.3489251865
193	0.3486595303
194	0.3484567101
195	0.3481766916
196	0.3478848868
197	0.3476418541
198	0.3475956027
199	0.3473349818
200	0.3470935112
201	0.3468074604
202	0.3465493556
203	0.3464182074
204	0.345951712
205	0.3457173481
206	0.3454447089
207	0.3452689127
208	0.3450558281
209	0.3447704636
210	0.3445640052
211	0.3442596339
212	0.3440423483
213	0.3437409949
214	0.3433023866
215	0.3431005553
216	0.3426791935
217	0.3425513806
218	0.3422503623
219	0.3418527418
220	0.3415793068
221	0.3413972751
222	0.3409957677
223	0.340787014
224	0.3405176612
225	0.3401373222
226	0.3398011729
227	0.3394283098
228	0.3390816169
229	0.3389177736
230	0.3386790448
231	0.3383160779
232	0.3380759401
233	0.3377138628
234	0.3375004891
235	0.3371795476
236	0.3370420318
237	0.3367542412
238	0.3364665308
239	0.3361109571
240	0.335808351
241	0.3355750207
242	0.3352330618
243	0.3349184628
244	0.3345680383
245	0.3344077218
246	0.3342680419
247	0.3339473013
248	0.3336413303
249	0.3333404471
250	0.3332125529
251	0.3328839968
252	0.3327034756
253	0.3323960705
254	0.3322323743
255	0.331963367
256	0.3316659569
257	0.3313469315
258	0.3310020643
259	0.3307252435
260	0.3304353349
261	0.3303275291
262	0.3301472407
263	0.3299269026
264	0.3295759476
265	0.3293434649
266	0.3290184073
267	0.3288571787
268	0.3285241233
269	0.3282846502
270	0.3280838353
271	0.3278986784
272	0.3277034737
273	0.3273199939
274	0.3271107494
275	0.3269939049
276	0.3267128252
277	0.3265508665
278	0.3262298725
279	0.3259357458
280	0.3258130646
281	0.3254649732
282	0.3251181749
283	0.3247375284
284	0.3244332469
285	0.3241908367
286	0.3238917985
287	0.3236704015
288	0.3234132939
289	0.3232533375
290	0.3230587455
291	0.3227479647
292	0.3225261637
293	0.3222686198
294	0.321945308
295	0.3218452511
296	0.3216046189
297	0.3213417343
298	0.3210731499
299	0.3208320414
300	0.3206262727
301	0.3202546198
302	0.3200009981
303	0.3198620977
304	0.3197592408
305	0.3195314339
306	0.319262446
307	0.3189924947
308	0.3186727468
309	0.318386506
310	0.3180688927
311	0.317832092
312	0.3176751505
313	0.3175798999
314	0.3173234043
315	0.317024671
316	0.3167978674
317	0.3165382529
318	0.3161567384
319	0.3158860314
320	0.3155806805
321	0.315190768
322	0.3149142148
323	0.3146823985
324	0.3145951403
325	0.3145127876
326	0.3143205481
327	0.3140531198
328	0.3137133187
329	0.3134490523
330	0.313259461
331	0.3131079965
332	0.3130172515
333	0.312708672
334	0.3124986985
335	0.3122864182
336	0.312036717
337	0.3118192734
338	0.3116287362
339	0.3114338569
340	0.311100513
341	0.3108519753
342	0.3105465812
343	0.3101491708
344	0.3099664594
345	0.3096853272
346	0.3094037366
347	0.3091709036
348	0.3090146148
349	0.3087020187
350	0.3085503244
351	0.308346004
352	0.3081972694
353	0.3080025328
354	0.3077251685
355	0.3076985615
356	0.3074452628
357	0.3072125158
358	0.307010367
359	0.3068071485
360	0.3065285007
361	0.30633771
362	0.3060575407
363	0.3059237202
364	0.3057237738
365	0.3055861568
366	0.3053894024
367	0.3052691232
368	0.3050168388
369	0.3049415112
370	0.3047891064
371	0.3044909487
372	0.3042661625
373	0.3041380174
374	0.3040560062
375	0.3038621986
376	0.3036255283
377	0.3034691431
378	0.3033873413
379	0.303137804
380	0.3029404201
381	0.3027983111
382	0.3025877902
383	0.3023830854
384	0.3020388305
385	0.3019152087
386	0.3017451485
387	0.3015808205
388	0.3014629508
389	0.3013263913
390	0.3010492642
391	0.3007505593
392	0.3006180153
393	0.3004327712
394	0.3003556365
395	0.3002012146
396	0.2999541053
397	0.2997870833
398	0.2993876584
399	0.2992485213
400	0.2989987028
401	0.2987724694
402	0.2985012306
403	0.2982807541
404	0.2980034097
405	0.2978223754
406	0.2976787808
407	0.2975012005
408	0.2973410639
409	0.2972616781
410	0.297033143
411	0.2968168301
412	0.2965981716
413	0.2964351853
414	0.2961712067
415	0.2959696851
416	0.2958069162
417	0.2955195458
418	0.295243462
419	0.2949870701
420	0.294764646
421	0.2946105344
422	0.2943586938
423	0.2942168429
424	0.2941530387
425	0.2940242185
426	0.293869282
427	0.2937167892
428	0.2935240377
429	0.2934050038
430	0.2933387469
431	0.2931645285
432	0.2929106553
433	0.2928624187
434	0.2926107207
435	0.2922607646
436	0.2920420819
437	0.2919320713
438	0.291760938
439	0.2916357183
440	0.2914221972
441	0.2912767868
442	0.2910862714
443	0.290820888
444	0.2905283729
445	0.2903477976
446	0.2903279558
447	0.2900630527
448	0.2899982919
449	0.2896854802
450	0.2895674999
451	0.2893655637
452	0.2890372746
453	0.2889530962
454	0.2886979584
455	0.2884279393
456	0.2881780072
457	0.2879263024
458	0.2877498102
459	0.2876434965
460	0.2874460531
461	0.287210012
462	0.2869225023
463	0.2867264048
464	0.2864324707
465	0.2863717606
466	0.286263044
467	0.2861302774
468	0.2859758561
469	0.2857433042
470	0.2855521206
471	0.285344721
472	0.285184866
473	0.2849878344
474	0.2848027842
475	0.2845497094
476	0.2844785163
477	0.2843122294
478	0.2841539713
479	0.2839465009
480	0.2837819557
481	0.2836485286
482	0.2835333339
483	0.2834021339
484	0.2832268723
485	0.2830070128
486	0.282977496
487	0.2826976873
488	0.282547365
489	0.2823367483
490	0.2821903133
491	0.2820331121
492	0.2818311174
493	0.2816568393
494	0.2815395012
495	0.2813562359
496	0.2812083631
497	0.2810173452
498	0.2809339225
499	0.280684518
